arch,name,features,unsafe,stability,file
x86_64,cmpxchg16b,cmpxchg16b,True,stable,cmpxchg16b.rs
x86_64,_mm_crc32_u64,sse4.2,False,stable,sse42.rs
x86_64,_mm_cvti64_sh,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvt_roundi64_sh,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvtu64_sh,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvt_roundu64_sh,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvtsh_i64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvt_roundsh_i64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvtsh_u64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvt_roundsh_u64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvttsh_i64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvtt_roundsh_i64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvttsh_u64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvtt_roundsh_u64,avx512fp16,False,stable,avx512fp16.rs
x86_64,_mm_cvtsd_si64,sse2,False,stable,sse2.rs
x86_64,_mm_cvtsd_si64x,sse2,False,stable,sse2.rs
x86_64,_mm_cvttsd_si64,sse2,False,stable,sse2.rs
x86_64,_mm_cvttsd_si64x,sse2,False,stable,sse2.rs
x86_64,_mm_stream_si64,sse2,True,stable,sse2.rs
x86_64,_mm_cvtss_si64,sse,False,stable,sse.rs
x86_64,_mm_cvttss_si64,sse,False,stable,sse.rs
x86_64,_mm_cvtsd_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtss_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtss_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtsd_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvttsd_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvttsd_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvttss_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvttss_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundi64_sd,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundsi64_sd,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundi64_ss,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundu64_sd,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundsi64_ss,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundu64_ss,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundsd_si64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundsd_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundsd_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundss_si64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundss_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvt_roundss_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtt_roundsd_si64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtt_roundsd_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtt_roundsd_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtt_roundss_i64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtt_roundss_si64,avx512f,False,stable,avx512f.rs
x86_64,_mm_cvtt_roundss_u64,avx512f,False,stable,avx512f.rs
x86_64,_mm_bcstnebf16_ps,avxneconvert,True,unstable,avxneconvert.rs
x86_64,_mm256_bcstnebf16_ps,avxneconvert,True,unstable,avxneconvert.rs
x86_64,_mm_bcstnesh_ps,avxneconvert,True,unstable,avxneconvert.rs
x86_64,_mm256_bcstnesh_ps,avxneconvert,True,unstable,avxneconvert.rs
x86_64,_mm_cvtneebf16_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm256_cvtneebf16_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm_cvtneeph_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm256_cvtneeph_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm_cvtneobf16_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm256_cvtneobf16_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm_cvtneoph_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm256_cvtneoph_ps,avxneconvert,True,stable,avxneconvert.rs
x86_64,_mm_cvtneps_avx_pbh,avxneconvert,False,stable,avxneconvert.rs
x86_64,_mm256_cvtneps_avx_pbh,avxneconvert,False,stable,avxneconvert.rs
x86_64,_mm512_cvt_roundepi64_pd,"avx512dq,avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundepi64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundepi64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtepi64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtepi64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtepi64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtepi64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtepi64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtepi64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtepi64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtepi64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtepi64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundepi64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundepi64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundepi64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtepi64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtepi64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtepi64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtepi64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtepi64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtepi64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtepi64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtepi64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtepi64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundepu64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundepu64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundepu64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtepu64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtepu64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtepu64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtepu64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtepu64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtepu64_pd,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtepu64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtepu64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtepu64_pd,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundepu64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundepu64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundepu64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtepu64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtepu64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtepu64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtepu64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtepu64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtepu64_ps,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtepu64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtepu64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtepu64_ps,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtps_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtps_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtps_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtps_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtps_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtps_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundpd_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundpd_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundpd_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtpd_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtpd_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtpd_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtpd_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtpd_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtpd_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtpd_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtpd_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtpd_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvt_roundps_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvt_roundps_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvt_roundps_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvtps_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvtps_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvtps_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvtps_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvtps_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvtps_epu64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvtps_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtps_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtps_epu64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvtt_roundpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtt_roundpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtt_roundpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm_cvttpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_mask_cvttpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm_maskz_cvttpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_cvttpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_mask_cvttpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm256_maskz_cvttpd_epi64,"avx512dq,avx512vl",False,stable,avx512dq.rs
x86_64,_mm512_cvttpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvttpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvttpd_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_cvtt_roundps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_mask_cvtt_roundps_epi64,avx512dq,False,stable,avx512dq.rs
x86_64,_mm512_maskz_cvtt_roundps_epi64,avx512dq,False,stable,avx512dq.rs
