name,features,unsafe,stability,file
_mm_aesdec_si128,aes,False,stable,aes.rs
_mm_aesdeclast_si128,aes,False,stable,aes.rs
_mm_aesenc_si128,aes,False,stable,aes.rs
_mm_aesenclast_si128,aes,False,stable,aes.rs
_mm_aesimc_si128,aes,False,stable,aes.rs
_mm_aeskeygenassist_si128,aes,False,stable,aes.rs
_mm256_cmp_pd,avx,False,stable,avx.rs
_mm256_cmp_ps,avx,False,stable,avx.rs
_mm256_cvtpd_epi32,avx,False,stable,avx.rs
_mm256_cvtps_epi32,avx,False,stable,avx.rs
_mm256_cvttpd_epi32,avx,False,stable,avx.rs
_mm256_cvttps_epi32,avx,False,stable,avx.rs
_mm256_dp_ps,avx,False,stable,avx.rs
_mm256_lddqu_si256,avx,True,stable,avx.rs
_mm256_max_pd,avx,False,stable,avx.rs
_mm256_max_ps,avx,False,stable,avx.rs
_mm256_min_pd,avx,False,stable,avx.rs
_mm256_min_ps,avx,False,stable,avx.rs
_mm256_permutevar_pd,avx,False,stable,avx.rs
_mm256_permutevar_ps,avx,False,stable,avx.rs
_mm256_rcp_ps,avx,False,stable,avx.rs
_mm256_round_pd,avx,False,stable,avx.rs
_mm256_round_ps,avx,False,stable,avx.rs
_mm256_rsqrt_ps,avx,False,stable,avx.rs
_mm256_sqrt_pd,avx,False,stable,avx.rs
_mm256_sqrt_ps,avx,False,stable,avx.rs
_mm256_stream_pd,avx,True,stable,avx.rs
_mm256_stream_ps,avx,True,stable,avx.rs
_mm256_stream_si256,avx,True,stable,avx.rs
_mm256_testc_pd,avx,False,stable,avx.rs
_mm256_testc_ps,avx,False,stable,avx.rs
_mm256_testnzc_pd,avx,False,stable,avx.rs
_mm256_testnzc_ps,avx,False,stable,avx.rs
_mm256_testnzc_si256,avx,False,stable,avx.rs
_mm256_testz_pd,avx,False,stable,avx.rs
_mm256_testz_ps,avx,False,stable,avx.rs
_mm256_zeroall,avx,False,stable,avx.rs
_mm256_zeroupper,avx,False,stable,avx.rs
_mm_cmp_pd,avx,False,stable,avx.rs
_mm_cmp_ps,avx,False,stable,avx.rs
_mm_cmp_sd,avx,False,stable,avx.rs
_mm_cmp_ss,avx,False,stable,avx.rs
_mm_permutevar_pd,avx,False,stable,avx.rs
_mm_permutevar_ps,avx,False,stable,avx.rs
_mm_testnzc_pd,avx,False,stable,avx.rs
_mm_testnzc_ps,avx,False,stable,avx.rs
_mm256_hadds_epi16,avx2,False,stable,avx2.rs
_mm256_hsubs_epi16,avx2,False,stable,avx2.rs
_mm256_i32gather_epi32,avx2,True,stable,avx2.rs
_mm256_i32gather_epi64,avx2,True,stable,avx2.rs
_mm256_i32gather_pd,avx2,True,stable,avx2.rs
_mm256_i32gather_ps,avx2,True,stable,avx2.rs
_mm256_i64gather_epi32,avx2,True,stable,avx2.rs
_mm256_i64gather_epi64,avx2,True,stable,avx2.rs
_mm256_i64gather_pd,avx2,True,stable,avx2.rs
_mm256_i64gather_ps,avx2,True,stable,avx2.rs
_mm256_madd_epi16,avx2,False,stable,avx2.rs
_mm256_maddubs_epi16,avx2,False,stable,avx2.rs
_mm256_mask_i32gather_epi32,avx2,True,stable,avx2.rs
_mm256_mask_i32gather_epi64,avx2,True,stable,avx2.rs
_mm256_mask_i32gather_pd,avx2,True,stable,avx2.rs
_mm256_mask_i32gather_ps,avx2,True,stable,avx2.rs
_mm256_mask_i64gather_epi32,avx2,True,stable,avx2.rs
_mm256_mask_i64gather_epi64,avx2,True,stable,avx2.rs
_mm256_mask_i64gather_pd,avx2,True,stable,avx2.rs
_mm256_mask_i64gather_ps,avx2,True,stable,avx2.rs
_mm256_mpsadbw_epu8,avx2,False,stable,avx2.rs
_mm256_mulhrs_epi16,avx2,False,stable,avx2.rs
_mm256_packs_epi16,avx2,False,stable,avx2.rs
_mm256_packs_epi32,avx2,False,stable,avx2.rs
_mm256_packus_epi16,avx2,False,stable,avx2.rs
_mm256_packus_epi32,avx2,False,stable,avx2.rs
_mm256_permutevar8x32_epi32,avx2,False,stable,avx2.rs
_mm256_permutevar8x32_ps,avx2,False,stable,avx2.rs
_mm256_sad_epu8,avx2,False,stable,avx2.rs
_mm256_shuffle_epi8,avx2,False,stable,avx2.rs
_mm256_sign_epi16,avx2,False,stable,avx2.rs
_mm256_sign_epi32,avx2,False,stable,avx2.rs
_mm256_sign_epi8,avx2,False,stable,avx2.rs
_mm256_sll_epi16,avx2,False,stable,avx2.rs
_mm256_sll_epi32,avx2,False,stable,avx2.rs
_mm256_sll_epi64,avx2,False,stable,avx2.rs
_mm256_sra_epi16,avx2,False,stable,avx2.rs
_mm256_sra_epi32,avx2,False,stable,avx2.rs
_mm256_srl_epi16,avx2,False,stable,avx2.rs
_mm256_srl_epi32,avx2,False,stable,avx2.rs
_mm256_srl_epi64,avx2,False,stable,avx2.rs
_mm256_stream_load_si256,avx2,True,stable,avx2.rs
_mm_i32gather_epi32,avx2,True,stable,avx2.rs
_mm_i32gather_epi64,avx2,True,stable,avx2.rs
_mm_i32gather_pd,avx2,True,stable,avx2.rs
_mm_i32gather_ps,avx2,True,stable,avx2.rs
_mm_i64gather_epi32,avx2,True,stable,avx2.rs
_mm_i64gather_epi64,avx2,True,stable,avx2.rs
_mm_i64gather_pd,avx2,True,stable,avx2.rs
_mm_i64gather_ps,avx2,True,stable,avx2.rs
_mm_mask_i32gather_epi32,avx2,True,stable,avx2.rs
_mm_mask_i32gather_epi64,avx2,True,stable,avx2.rs
_mm_mask_i32gather_pd,avx2,True,stable,avx2.rs
_mm_mask_i32gather_ps,avx2,True,stable,avx2.rs
