arch,name,features,unsafe,stability,file,doc,signature,instruction
x86_64,_lzcnt_u32,lzcnt,False,stable,abm.rs,"Counts the leading most significant zero bits.  When the operand is zero, it returns its size in bits.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_lzcnt_u32)",fn _lzcnt_u32(x: u32) -> u32,lzcnt
x86_64,_popcnt32,popcnt,False,stable,abm.rs,Counts the bits that are set.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_popcnt32),fn _popcnt32(x: i32) -> i32,popcnt
x86_64,_addcarryx_u32,adx,False,stable,adx.rs,"Adds unsigned 32-bit integers `a` and `b` with unsigned 8-bit carry-in `c_in` (carry or overflow flag), and store the unsigned 32-bit result in `out`, and the carry-out is returned (carry or overflow flag).  [Intel's documentation](https://software.intel.com/sites/landingpage/IntrinsicsGuide/#text=_addcarryx_u32)","fn _addcarryx_u32(c_in: u8, a: u32, b: u32, out: &mut u32) -> u8",adc
x86_64,_mm_aesdec_si128,aes,False,stable,aes.rs,Performs one round of an AES decryption flow on data (state) in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_aesdec_si128),"fn _mm_aesdec_si128(a: __m128i, round_key: __m128i) -> __m128i",aesdec
x86_64,_mm_aesdeclast_si128,aes,False,stable,aes.rs,Performs the last round of an AES decryption flow on data (state) in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_aesdeclast_si128),"fn _mm_aesdeclast_si128(a: __m128i, round_key: __m128i) -> __m128i",aesdeclast
x86_64,_mm_aesenc_si128,aes,False,stable,aes.rs,Performs one round of an AES encryption flow on data (state) in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_aesenc_si128),"fn _mm_aesenc_si128(a: __m128i, round_key: __m128i) -> __m128i",aesenc
x86_64,_mm_aesenclast_si128,aes,False,stable,aes.rs,Performs the last round of an AES encryption flow on data (state) in `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_aesenclast_si128),"fn _mm_aesenclast_si128(a: __m128i, round_key: __m128i) -> __m128i",aesenclast
x86_64,_mm_aesimc_si128,aes,False,stable,aes.rs,Performs the `InvMixColumns` transformation on `a`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_aesimc_si128),fn _mm_aesimc_si128(a: __m128i) -> __m128i,aesimc
x86_64,_mm_aeskeygenassist_si128,aes,False,stable,aes.rs,Assist in expanding the AES cipher key.  Assist in expanding the AES cipher key by computing steps towards generating a round key for encryption cipher using data from `a` and an 8-bit round constant `IMM8`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm_aeskeygenassist_si128),fn _mm_aeskeygenassist_si128<IMM8: i32>(a: __m128i) -> __m128i,aeskeygenassist
x86_64,_mm256_add_pd,avx,False,stable,avx.rs,Adds packed double-precision (64-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_add_pd),"fn _mm256_add_pd(a: __m256d, b: __m256d) -> __m256d",vaddpd
x86_64,_mm256_add_ps,avx,False,stable,avx.rs,Adds packed single-precision (32-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_add_ps),"fn _mm256_add_ps(a: __m256, b: __m256) -> __m256",vaddps
x86_64,_mm256_and_pd,avx,False,stable,avx.rs,Computes the bitwise AND of a packed double-precision (64-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_and_pd),"fn _mm256_and_pd(a: __m256d, b: __m256d) -> __m256d",vandp
x86_64,_mm256_and_ps,avx,False,stable,avx.rs,Computes the bitwise AND of packed single-precision (32-bit) floating-point elements in `a` and `b`.  [Intel's documentation](https://www.intel.com/content/www/us/en/docs/intrinsics-guide/index.html#text=_mm256_and_ps),"fn _mm256_and_ps(a: __m256, b: __m256) -> __m256",vandps
